;0;1;2;3;4;5;6;7
75;0;127415;42007;4024882;0;0;0;0
76;962146;1304060;323555;1465737;0;0;138806;0
77;870895;2657029;473384;0;0;0;192996;0
78;1044803;2161993;556994;0;0;0;430514;0
79;0;3286505;468628;0;0;0;439171;0
80;885105;2078442;1082256;0;0;0;148501;0
81;63014;2148586;604581;1278272;0;0;99851;0
82;14401;2718438;1328382;0;0;0;133083;0
83;659452;2019698;1515154;0;0;0;0;0
84;1144582;2359422;549140;0;0;0;141160;0
85;896630;2642928;528258;0;0;0;126488;0
86;418399;2612207;1163698;0;0;0;0;0
87;89339;2096085;724542;939018;0;0;345320;0
88;855158;2419628;907616;0;0;0;11902;0
89;119514;3321785;629161;0;0;0;33236;90608
90;730697;2574993;398227;0;0;0;0;490387
91;2406914;1317365;470025;0;0;0;0;0
92;0;433170;10889;3750245;0;0;0;0
93;0;588797;21942;3583565;0;0;0;0
94;158;615618;16329;3562199;0;0;0;0
95;19022;3989839;94206;3012;0;53587;0;34638
96;0;3023030;90051;609920;0;338313;0;132990
97;0;3810032;127766;0;0;209714;0;46792
98;0;3227837;87552;550923;0;188633;0;139359
99;957598;2588777;647929;0;0;0;0;0
100;941934;2730680;521690;0;0;0;0;0
101;1264712;2462740;466852;0;0;0;0;0
102;845057;2863586;485661;0;0;0;0;0
103;0;189816;45779;3749591;0;0;209118;0
104;59780;1616850;275780;2156049;0;0;85845;0
105;1460681;2249224;484399;0;0;0;0;0
106;1678936;2135097;380271;0;0;0;0;0
107;846321;2633065;714918;0;0;0;0;0
108;738052;3029303;426949;0;0;0;0;0
109;0;1887457;73719;1793908;0;0;439220;0
110;0;1795614;111154;2013775;0;0;273761;0
111;1388157;2454074;352073;0;0;0;0;0
112;1251046;2528161;415097;0;0;0;0;0
113;870313;2472096;851895;0;0;0;0;0
114;892005;2842642;459657;0;0;0;0;0
115;736500;2643619;814185;0;0;0;0;0
116;0;3248828;945476;0;0;0;0;0
117;543223;2337455;693756;0;0;0;0;619870
118;806456;2437545;950303;0;0;0;0;0
119;176647;3321948;695709;0;0;0;0;0
120;10509;645212;77297;0;0;0;0;3461286
121;1018962;2010325;785349;0;0;0;0;379668
122;310025;2617921;407488;0;0;0;0;858870
123;658094;2030647;512023;0;0;0;0;993540
124;79399;1119930;357357;0;2347327;0;290291;0
125;0;214759;276552;1960307;1484475;0;211363;46848
126;74247;661455;789543;88634;2261416;0;319009;0
127;201425;1019665;167264;335861;1947210;171033;351846;0
128;197504;103992;110624;1196981;2511840;0;73363;0
129;219877;49303;110319;172708;3487496;0;154601;0
130;0;0;47785;1649969;2496550;0;0;0
131;130801;1063224;362190;121229;2516860;0;0;0
132;398662;715859;844779;45660;2020863;0;168481;0
133;218414;33361;76829;0;3865700;0;0;0
134;172368;298285;277900;374476;2776450;0;294825;0
135;32247;0;364679;697554;2924873;0;84884;90067
136;6200;0;624909;89205;3413769;0;60221;0
137;163713;1670067;1213703;158839;32000;640860;0;315122
138;85744;1294321;1627619;191044;841351;10116;144109;0
139;0;2758532;3075;0;0;1432697;0;0
140;0;296792;106384;3791128;0;0;0;0
141;0;0;20599;4148165;0;25540;0;0
142;0;0;67429;2754768;0;1372107;0;0
143;0;0;0;3508783;0;685521;0;0
144;0;1333584;345378;1709467;0;805875;0;0
145;142058;2631403;492654;556954;0;0;371235;0
146;0;102261;176214;600565;2995574;0;319690;0
147;0;0;2048;3377500;0;814756;0;0
